"id","doi","title","authors","year","publication_date","journal","type","publisher_url","open_access","citation_count","source"
"https://openalex.org/W7125583381","10.64898/2026.01.20.700654","Resampling-based validation of a SNP panel for hybrid detection across generations: a case study in European lobster","Erik Sandertun Røed; Charlie Ellis; Jamie R. Stevens; Louise Chavarie; Marie Saitou",2026,"2026-01-23","bioRxiv","preprint","https://doi.org/10.64898/2026.01.20.700654",TRUE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W7171704742","10.1093/g3journal/jkag206","Resampling-based evaluation of a 79-SNP panel for hybrid classification across generations: a case study in European lobster ( Homarus gammarus )","Erik Sandertun Røed; Charlie Ellis; Jamie R. Stevens; Louise Chavarie; Marie Saitou",2026,"2026-07-29","G3: Genes, Genomes, Genetics","article","http://dx.doi.org/10.1093/g3journal/jkag206",TRUE,0,"ORCID/OpenAlex/Crossref"
,,"No-take zone effectiveness in linear coastal systems depends on spatially heterogeneous placement and larval dispersal directionality",,2026,,"bioRxiv","preprint",,,,"ORCID/OpenAlex/Crossref"
,"10.64898/2026.05.06.723173","Making Course Structure Visible in a Multi-Instructor Graduate Genomics Course: A Course-Level Evaluation of Standardized Learning Supports","Marie Saitou; Celian Diblasi",2026,"2026-05-08",,"preprint","http://dx.doi.org/10.64898/2026.05.06.723173",,,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W7163994555","10.64898/2026.06.03.729980","Imputed graph-genotyped structural variants identify regulatory haplotypes associated with gene expression in Atlantic salmon","Maëlys Chapis; Domniki Manousi; Célian Diblasi; Cathrine Brekke; Junsoung Kwak; Arturo Vera Ponce de León; Mariann Árnyasi; Randi Fenstad; Solomon Boison; Marie Saitou",2026,"2026-06-09","bioRxiv (Cold Spring Harbor Laboratory)","preprint","http://dx.doi.org/10.64898/2026.06.03.729980",TRUE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4415743784","10.1016/j.fsi.2025.110975","Gene gain and loss drive the diversification of gig immune genes in teleosts: structural and regulatory insights from Atlantic salmon","Domniki Manousi; Shahmir Naseer; Samuel Martín; Simen R. Sandve; Marie Saitou",2026,"2025-10-31","Fish & Shellfish Immunology","article","https://doi.org/10.1016/j.fsi.2025.110975",FALSE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W7162859674","10.1093/gbe/evag130","Comparative Transcriptomics Suggests that Breast Secretory Epithelium Reuses Gene Repertoires Conserved Across Vertebrates Beyond Mammals","Marie Saitou",2026,"2026-06-02","Genome Biology and Evolution","article","http://dx.doi.org/10.1093/gbe/evag130",TRUE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W7162698007","10.64898/2026.05.25.727466","Ancient persistence and recurrent emergence of structural variants across divergent Atlantic salmon lineages","Célian Diblasi; Jun Soung Kwak; Domniki Manousi; Mariann Árnyasi; Arturo Vera-Ponce de Leon; Nicola J. Barson; Marie Saitou",2026,"2026-05-28","bioRxiv (Cold Spring Harbor Laboratory)","preprint","http://dx.doi.org/10.64898/2026.05.25.727466",TRUE,1,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4411428733","10.1038/s41467-025-60513-x","Switch-like gene expression modulates disease risk","Alber Aqil; Yanyan Li; Zhiliang Wang; Safiqul Islam; M. A. H. Russell; Theodora Kunovac Kallak; Marie Saitou; Ömer Gökçümen; Naoki Masuda",2025,"2025-06-18","Nature Communications","article","https://doi.org/10.1038/s41467-025-60513-x",TRUE,8,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4409563751","10.1093/gbe/evaf063","Parallel Selection in Domesticated Atlantic Salmon from Divergent Founders Including on Whole-Genome Duplication-derived Homeologous Regions","Pauline Buso; Célian Diblasi; Domniki Manousi; Jun Soung Kwak; Arturo Vera-Ponce de León; Kristina Stenløkk; Nicola J. Barson; Marie Saitou",2025,"2025-04-01","Genome biology and evolution","article","https://europepmc.org/articles/PMC12006720",TRUE,6,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4409728342","10.1101/2025.04.15.648526","Metatranscriptomic Insights into Microbial Dynamics Prior to Disease Onset in Atlantic Salmon Aquaculture","Marie Saitou; Arturo Vera-Ponce de León; Akira Harding; Célian Diblasi; Domniki Manousi; Jun Soung Kwak; David G. Hazlerigg T; Turid Mørkøre; Lars-Gustav Snipen",2025,"2025-04-15","bioRxiv","preprint","https://doi.org/10.1101/2025.04.15.648526",TRUE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4417399605","10.64898/2025.12.15.694296","Large-scale eQTL analyses in Atlantic salmon reveal persistent dosage compensation 100 million years after genome duplication","Célian Diblasi; Domniki Manousi; David G. Hazlerigg; Lars Grønvold; Nicola J. Barson; Simen R. Sandve; Marie Saitou",2025,"2025-12-16","bioRxiv","preprint","https://doi.org/10.64898/2025.12.15.694296",FALSE,2,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4411798614","10.1101/2025.06.26.661685","Impaired trap closure in the counting-deficient Venus flytrap mutant DYSCALCULIA is caused by cell wall biomechanics","Sonja Trebing; Matthias Freund; Anda Iosip; Célian Diblasi; Vincent Krennerich; Jonathan Kirshner; Mitsuhiko P. Sato; André Marques; Marie Saitou; Dirk Becker; Victor A. Albert; Ingrid Teßmer; Kenji Fukushima; Rainer Hedrich; Ines Kreuzer",2025,"2025-06-30","bioRxiv","preprint","https://doi.org/10.1101/2025.06.26.661685",TRUE,1,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4412193318","10.1186/s12864-025-11735-2","Dissecting the genetic basis of response to salmonid alphavirus in Atlantic salmon","Domniki Manousi; Dorota Monika Jaskula; Fabian Grammes; Tim Martin Knutsen; Shahmir Naseer; Samuel Martín; Thomas Moen; Marie Saitou; Sigbjørn Lien",2025,"2025-07-11","BMC genomics","article","https://doi.org/10.1186/s12864-025-11735-2",TRUE,1,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W7116681358","10.64898/2025.12.19.695381","Comparative Transcriptomics of Human Breast Tissue Suggests Conserved Epithelial Secretory Programs and Tissue-Associated Regulatory Specialization","Marie Saitou",2025,"2025-12-22","bioRxiv","preprint","https://doi.org/10.64898/2025.12.19.695381",TRUE,0,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4412829175","10.1038/s41437-025-00785-7","Beyond inversions and deletions: the evolutionary and functional insights from translocations, fissions, and fusions in animal genomes","Célian Diblasi; Marie Saitou",2025,"2025-08-01","Heredity","article","https://doi.org/10.1038/s41437-025-00785-7",TRUE,3,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4415255500","10.1101/2025.10.16.682803","A major locus on chromosome 14 impacts developmental variation of Atlantic salmon smoltification","Marie Saitou; Domniki Manousi; Jayme van Dalum; Anja Striberny; Lars Grønvold; Cathrine Brekke; Solomon Antwi Boison; Jun Soung Kwak; Arturo Vera Ponce de León; Bjarne Gjerde; Even H. Jørgensen; David G. Hazlerigg; Simen R. Sandve",2025,"2025-10-16","bioRxiv","preprint","https://doi.org/10.1101/2025.10.16.682803",TRUE,2,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4401897627","10.1101/2024.08.24.609537","Switch-like Gene Expression Modulates Disease Susceptibility","Alber Aqil; Yanyan Li; Zhiliang Wang; Saiful Islam; M. A. H. Russell; Theodora Kunovac Kallak; Marie Saitou; Ömer Gökçümen; Naoki Masuda",2024,"2024-08-26","bioRxiv","preprint","https://doi.org/10.1101/2024.08.24.609537",TRUE,2,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4399527998","10.3389/fmars.2024.1408561","Insights into epigenetic regulation of cyp19a via comparative analysis using the scombrid chub mackerel as model","Mariel Galotta; Anh Tuan Dam; Yuhei Eto; Atsushi Toyoda; Takehiko Itoh; Sipra Mohapatra; Yukiko Ogino; Marie Saitou; Michiya Matsuyama; Tapas Chakraborty; Kohei Ohta",2024,"2024-06-07","Frontiers in Marine Science","article","https://doi.org/10.3389/fmars.2024.1408561",TRUE,2,"ORCID/OpenAlex/Crossref"
"https://openalex.org/W4400808908","10.1093/g3journal/jkae162","Functional and regulatory diversification of Period genes responsible for circadian rhythm in vertebrates","Jun Soung Kwak; M. Ángel León‐Tapia; Célian Diblasi; Domniki Manousi; Lars Grønvold; Guro K. Sandvik; Marie Saitou",2024,"2024-07-19","G3 (Bethesda, Md.)","article","https://europepmc.org/articles/PMC11457068",TRUE,7,"ORCID/OpenAlex/Crossref"
